A2ML1,ABCC8,AVPR1A,BCL11A,C1orf64,CCDC74B,CD79B,CDC25C,CDCA8,CDK1,CEP55,CKS1B,CPB1,CYP4Z2P,E2F5,ESR1,FAM72B,FGF1,FLJ33360,FLT3,FOXA1,FOXC1,GDF5,GUSBP3,HTR7,IGFN1,IQGAP3,LOC145837,LRRC31,MIA,MLPH,MMP23B,MUCL1,MYBL2,NCAPG,NUF2,OIP5,OVGP1,PALM2,PAMR1,PHEX,POC1A,RUNX1T1,SLIT3,SYT13,TFAP2B,TPX2,TTK,UBE2T,UCKL1AS,subtype
-0.733058496,1.103237989,0.877728843,0.597035016,0.873380741,1.690379725,-0.379148295,0.335030023,0.230613394,0.07099188,0.043087019,0.882641145,-0.053237203,-0.216716474,0.408786708,0.142168382,-0.14268771,1.36951978,0.185510412,1.244300551,0.483131881,0.408552508,0.247894793,0.663340885,0.02466208,-0.037391591,0.307248628,-0.155251325,0.824960407,0.659415769,0.311553124,0.485707669,0.808441307,0.027157169,0.002112247,-0.165326706,-0.322149812,-0.177949819,0.397933938,0.959301686,-0.71057939,0.471970106,1.017672648,0.20490878,0.767555272,0.867273628,0.095813956,-0.461466232,0.355896551,-1.195913481,LumA
-0.386483046,0.618028978,-0.243621092,0.18512081,1.309988788,1.019711493,0.465178051,-0.123277363,-0.001613763,0.5971027,-0.445428493,-0.171844533,0.009700928,0.243635111,0.389860236,0.40454299,-1.367469319,0.694224291,-0.068548771,1.268329618,0.397415221,-0.189039216,0.42229697,0.127023491,-0.023041222,1.132131144,-0.281681917,0.557929308,1.240114873,0.819509115,0.522979892,1.522161356,-0.133007725,0.12921467,-0.722003913,-0.6258864,-0.410635723,1.969873781,-0.106008032,0.860998425,-0.402150534,-0.493802575,0.934255448,-0.088072046,-0.923673096,1.0277803,-0.201990229,-0.376930324,-0.748202489,-0.29535703,LumA
-0.584706091,0.010533916,0.044858102,0.070049401,1.037354105,-0.024235744,1.137537151,-0.894045843,-0.467262924,-0.879535757,-0.714069518,-1.258134172,-0.911837882,0.752125203,0.485978967,0.737011243,-0.730004488,0.235444142,-0.411949416,-0.796215245,0.335945402,-0.61530067,-0.852634458,0.93065053,0.155062109,-0.302591003,-0.986216785,-0.62126662,-1.237503686,-0.545635415,0.607456116,0.332508649,-0.029236762,-0.694686431,-0.823467096,-1.321280121,-0.721679914,-0.20680842,0.222625028,-0.084009932,-0.684302547,0.254927112,0.4467224,0.355454684,1.358333108,0.9000188,-0.458156614,-0.502524435,-1.244684184,0.600466488,LumA
-0.643423295,0.789570498,0.380821855,0.215562138,0.431947544,-0.061203733,-1.205643936,-1.572717253,-1.079622295,-1.30870867,-0.666694101,-1.570642659,-0.549044232,0.269532017,-0.59966723,-0.41233079,-1.019663338,1.72514505,-0.409800924,2.097088069,0.311216591,0.059080042,0.928648458,0.270725421,1.941129855,-0.440863587,-1.303712015,-0.027144033,1.25589688,0.486700955,-0.337286123,1.801305833,0.587750321,-0.889929355,-0.974826095,-1.806079799,-1.072843896,-0.649549475,0.183066686,0.341697799,-0.375991525,-1.775841471,1.856189986,1.559442899,-0.978456587,1.002454349,-0.962819264,-0.975280316,-1.125591533,-0.997501517,LumA
-0.254744191,-0.180716352,0.329695413,-0.667037163,-0.224545649,-0.512840482,0.006164754,-0.259400568,0.466083708,0.722404242,0.624807673,1.024837116,0.082754808,1.336168591,-1.000194971,0.113980924,0.339102795,0.698385028,-0.540500856,-0.022886557,0.271175937,-0.359543798,0.405341897,0.802302278,1.461125696,0.049552074,0.917012194,1.217773605,2.061812592,-0.530888227,0.177602262,1.460730689,1.816346402,1.079270976,0.005789661,0.552176818,0.230261707,-0.716320356,0.313196555,-0.26860161,0.556306127,0.986807572,1.082391755,1.100603847,0.176582873,0.920918368,0.964729084,0.726288929,0.716846962,-0.124785847,LumB
-0.792615375,-0.317529814,1.245208895,0.057139727,0.162911279,0.078853018,0.250247296,0.90698084,0.240257521,0.602031747,-0.123383858,-0.680016519,-0.416746499,-0.557775013,0.506193628,0.169230841,0.375098637,0.320700001,-1.357823036,1.41295202,0.375986056,0.115226829,-0.301719638,-0.675612988,-0.379330417,0.391077467,0.156114535,0.040996369,-0.207383269,0.406255709,0.151834223,0.476077657,1.050360327,1.16312641,0.504831396,0.304635164,0.1941261,-1.503020366,-0.546557047,1.52406757,0.240925102,0.014295201,0.37331263,0.693917656,0.728392441,0.176254931,0.216344428,0.187766604,0.344267093,1.289247401,LumA
0.377710273,0.779404589,0.334177731,1.645945973,-1.647420085,1.080433602,0.223869174,0.94066161,1.618684867,1.85807377,1.069966564,0.524039962,-0.696389864,-1.564068078,1.75147619,-2.69010864,1.607033266,-1.256297882,0.896213675,0.958965561,-0.241307361,-0.62907934,0.026278491,0.276739534,-0.158063025,-0.50086867,0.98322332,-1.265806433,-1.237503686,-0.205088302,-1.592404403,-1.198600381,-0.009525017,1.539359697,2.011150135,1.49312892,1.182666606,-0.699425545,2.425868143,-1.479506634,-1.324726933,-0.586785341,0.086586578,-3.275233446,1.097479192,1.618501189,1.466339339,2.040811291,1.814825235,0.053673557,Basal
-1.030153156,-1.466113596,0.274436835,-0.572326381,-0.593519794,0.852969921,-0.421375934,1.528480503,0.255961231,0.356098286,0.339395905,0.319157923,-0.884198488,-0.154607267,0.66156906,0.619448919,-0.583636779,-0.21022576,0.763812853,-0.148000615,0.496627064,-0.271556415,-0.406551001,-0.745305947,0.280592771,-1.083385156,0.850573798,0.308428681,1.274810238,-0.262914551,0.189584401,-0.152894329,-0.654279124,1.029129433,0.066466985,0.321456243,0.930365941,-0.338410106,-0.291633416,-0.605699874,0.665301997,1.338394757,0.7973775,0.550194073,1.038748843,-1.166422867,0.543968165,0.235936675,-0.183168198,-0.991747756,LumB
0.339535093,-1.57564307,-0.138706833,1.791618089,-1.66963759,-1.665172312,-1.082017713,0.453496104,1.824966762,0.386277884,1.732449551,1.12163178,-0.136329464,-1.928576327,2.071046196,-2.402859068,1.626338728,-2.616858929,-0.799573188,0.714072712,0.015249423,0.942875885,1.342522278,-0.532052567,-1.934392034,-0.87388308,1.177614338,-1.115722402,-0.802026754,1.023611525,-1.547095599,-1.682366886,-1.626598834,1.361116816,2.004463929,1.327121758,1.577471283,-1.229227422,0.394803422,-1.763766895,0.784136955,0.223724841,-1.390760356,-2.148640683,0.798212904,-1.461129414,2.549078654,2.265898226,0.465633171,-0.961865318,Basal
1.890502965,-0.76158329,0.189693007,1.616381227,-1.717316628,-0.268512405,0.162791932,0.775913639,1.237869882,0.334479663,1.311944426,1.190655594,0.30207118,-1.598173931,2.085612643,-1.44389175,1.917920434,-1.125744941,-0.956144545,0.661086583,-0.711228926,1.725576548,0.173872647,-2.623973418,-1.326546327,-0.436252478,0.86754324,-1.762472398,-1.237503686,1.491303312,-2.213671847,-0.075224817,0.335217285,1.657100739,1.243824366,0.531976831,1.347778536,-1.760888536,1.343420997,-0.381923424,0.165806327,0.253054975,-0.605901281,-0.766286651,-0.947465419,1.066385399,1.257289411,1.853996467,0.538033108,-0.61812448,Basal
